行,科室,关键词,问题,病情分析/意见,相关问题1,相关问题2,相关问题3,相关问题4,相关问题5,相关问题6,
11,妇产科,人流,人流后有必要输液四天和用仪器消炎码？,"病情分析：一般情况下考虑流产术后最好是坚持抗炎治疗一周左右指导意见：所以你的情况建议慎重考虑,注意休息,一般考虑流产后最好是两周后再考虑工作生活护理：同时建议注意局部的卫生,少食生冷刺激性食物",人流后需要打消炎针吗，，必须码,无痛人流后有必要输液吗？,人流后有必要输液吗,怀孕三个月，做的人流，医生让输液三天，做那个保宫仪器，一个小时都400，请问有必要吗,引产后有必要输液吗?,包茎手术后有必要做仪器治疗吗？,
12,外科,痔疮,痔疮手术过后的问题,"病情分析：你好,便秘多因上火,饮食不节,不良的生活习惯等因素诱发的指导意见：关键是积极治疗便秘,可使用复方芦荟胶囊或者麻仁润肠丸进行治疗较好,要多吃瓜果蔬菜补充维生素,不要食用辛辣食物较好",痔疮手术过后饮食问题,痔疮手术过后吃什么最好？？,痔疮手术过后吃什么好？,痔疮手术过后多久才好？？,请问痔疮手术，10小时过后拉大,每例痔疮手术过后都要扩肛吗？每例痔疮手术过后都要扩...,
13,内科,肝硬化,肝硬化晚期可以治疗吗,"病情分析：肝硬化是肝实质细胞广泛破坏,变性,坏死与再生,纤维组织增生,以及正常的肝结构紊乱.由于瘢痕的收缩,倒置肝脏质地变硬,形成了肝硬化.　 指导意见：失代偿期患者应以卧床休息为主.由于目前尚无特效药,因此患者不宜滥用药物,否则将加重肝脏负担而适得其反.可以在医生指导下使用一些保护肝细胞的药物如肝泰乐,维丙肝,肝宁,水飞蓟素,肌苷等,以及中医中药等等. 对晚期肝硬化患者,别无疗法,肝移植是最好的选择.",肝硬化晚期可以看治疗,肝硬化晚期可以治疗吗？,肝硬化晚期治疗,晚期肝硬化治疗,晚期肝硬化不治疗可以活多久,肝硬化晚期可以治疗吗。费用高吗,
14,皮肤科,皮肤综合,神经性皮炎,病情分析：考虑是此病 与精神因素及免疫  过敏等有关 指导意见：首先要注意避免接触刺激性大的东西 其次现在只能用药膏 不要口服药物了 害怕对宝宝有影响,神经性皮炎原因，神经性皮炎治疗,神经性皮炎,头皮神经性皮炎？,是否神经性皮炎,神经性皮炎,神经性皮炎！,
15,内科,甲状腺疾病,咨寻我是患了甲亢吗,"病情分析：甲状腺亢进疾病会体现在很多方面,例如容易冲动,易怒,精力过剩等.单凭一个手抖不能说明您是否患有甲亢.指导意见：手颤抖可能与您的神经系统有关,建议您不必有过大心理压力,放松心态.生活护理：祝您早日康复!",医生，你好，咨寻一下，我是12,我患了甲亢,我是否患了甲亢？,患了甲亢怎么缓解症状？,患了甲亢能治好嗎,"患了三年甲亢,甲亢(感谢医生)",
16,妇产科,人流,人流不全时可能怀孕吗,"病情分析：你好朋友这样的情况考虑是由于在次怀孕有一定影响的啊指导意见：建议你应该做个HCG检查一下,和做个B超检查都可以确定的啊,你放心",人流后几天就性生活怀孕可能大不,人流一个月内怀孕的可能大不大？求解答，可能怀孕不？...,做了人流还可能怀孕吗,比如说我今天才吃避孕药、下一次吃安全时间是好久一年...,做过人流怀孕可能信吗,人流一个月后，怀孕的可能性大不,
17,外科,男科,包皮手术化脓,"您好：您现在有发炎的迹象,这种情况下如果可以安排的话建议您最好能到院接受正规无菌的换药操作.如果实在条件不允许,那么建议您能在医院经过医生的具体指导下再自我操作.另外,也无需一定把脓液擦掉,随着恢复脓液可自我吸收.",包皮手术后缝线出化脓,做了包皮手术；化脓了咋办,包皮手术后伤口化脓！,包皮手术伤口化脓，疼不，好治不,包皮手术13天，伤口化脓稍严重,包皮手术后三天，好像化脓了,
18,精神科,精神科综合,槟榔十三味治疗精神病效果怎么样,精神失常，不出门，不爱说话，建议她最好到医院精神科接受检查，根据检查结果对症治疗。（蒙王）槟榔十三味丸具有安神止痛的功效，可以用来治疗精神失常，你可以服用槟榔十三味丸试试，看看效果如何，这味药在病情轻微的情况下可以使用，如果病情严重，请及时到正规医院精神科接受治疗，祝你早日恢复健康！,槟榔十三味是否治疗精神病,槟榔十三味治疗精神病效果怎么样,槟榔十三味丸,安脑芬尼治疗精神病效果怎么样？,要怎么样治疗精神病。精神病能否,心理医生治疗精神病效果怎么样,
19,妇产科,人流,人流后有必要输液四天和用仪器消炎码？,"病情分析：一般情况下考虑流产术后最好是坚持抗炎治疗一周左右指导意见：所以你的情况建议慎重考虑,注意休息,一般考虑流产后最好是两周后再考虑工作生活护理：同时建议注意局部的卫生,少食生冷刺激性食物",人流后需要打消炎针吗，，必须码,无痛人流后有必要输液吗？,人流后有必要输液吗,怀孕三个月，做的人流，医生让输液三天，做那个保宫仪器，一个小时都400，请问有必要吗,引产后有必要输液吗?,包茎手术后有必要做仪器治疗吗？,
20,整形美容,减肥瘦身,喝豆奶粉能不能减肥,病情分析：服用豆奶粉的话减肥的作用不大的到不到减肥的目的的因为豆奶粉中的热量也是比较足的是需要注意积极的避免使用这样的成份减肥较好的指导意见：一般情况下减肥的话主要是通过节食和运动才可以的节食上主要是通过减少油腻和甜腻的食物较好的注意适当的坚持运动锻炼身体才可以的注意继续定期的复查才可以的,平时喝豆奶粉冲成都的豆浆，会影响减肥吗？豆奶粉的功...,每天喝豆奶粉好吗/能减肥吗？,请问喝豆奶粉减肥 美容吗,在什么时间喝豆奶粉最好,减肥期间可以喝豆奶粉吗，能吃方便面和面包吗,最近在减肥，早晨喝一袋豆奶粉和熟食燕麦，,
21,传染科,肝病,冬季乙肝病人忌吃什么,"河南省公安医院肝病治疗中心专家回答您：冬天饮食要注意不吃辛辣刺激的食物,不喝酒,不抽烟,不吃油炸食物.",乙肝病人转氨酶高忌吃什么,乙肝病人忌吃哪些食物,乙肝病毒者要忌吃什么,乙肝病人不易吃什么?,乙肝病人吃什么好,乙肝病人吃什么好。。。,
22,皮肤科,痤疮,补肾壮阳会加重痤疮吗,"病情分析：患者 三年半前因脸上长青春痘,听别人说手隐能去火,至此染上恶习,一发不可收拾!满脸痤疮 风湿关节炎 手脚冰凉 多梦 梦遗 记忆力下降 易疲劳 睡觉时耳鸣用药效果不好指导意见：建议患者首先改正不良习惯加强锻炼保持良好心情用中药调理不要急于求成",痤疮会越长越多吗？,冷水洗脸会加重痤疮吗？,打飞机会不会加重痤疮？,脸上长痤疮，手淫会加重吗？,怎么才能上夜班也不让痤疮加重,吃鸡蛋，不会加重痤疮，痘痘复发吗...,
23,妇产科,人流,请问怀孕35天左右可以做人流吗,"病情分析：一般情况下考虑怀孕6周后才可以B超看到宫内孕囊指导意见：所以你的情况建议最好是及时到医院检查,看到孕囊后才可以选择流产生活护理：同时建议最好是注意局部的卫生,一般考虑无痛人流痛苦较小",怀孕35天左右，做人流可以吗？大概费用是多少？,请问怀孕35天左右可以做人流么,意外怀孕35天左右，可以做人流吗,现在怀孕35天左右，想去做人流。时间点可,我怀孕35天左右，可以做人流吗,怀孕35天左右,
24,内科,脑血管病,头皮抓破了流血是脑出血吗?,"病情分析：  脑溢血发病主要原因是长期高血压,动脉硬化.绝大多数患者发病当时血压明显升高,导致血管破裂,引起脑出血.指导意见：   头皮抓破了流血只是普通的头皮出血,不是脑出血.   针灸出血同样是头皮出血,问题不是严重.   小孩子玩耍时撞到头部出血同样是头皮出血.",啥是脑出血,是3级脑出血，有10几处脑出血,什么是脑出血？脑出血是怎么引起的？,因车祸造成脑出血，外伤碰破了头皮，现在...,什么是脑出血保守治疗？,脑出血，是挂这科吗？谢谢！,
25,外科,骨科,最近发现患肩周炎并有一次晕过去我该怎么办,肩周炎是常见病，但是跟晕过去，不一定有关系。建议到医院理疗科或者骨伤科找医生看一看，做一些必要的检查。尽早帮你解除病痛。,能治吗去年患的肩周炎,头痛近半年/。患肩周炎,患肩周炎用什么药好？,患肩周炎游泳可以吗,肩周炎会引起头晕吗,最近我患上肩周炎怎麽治疗？,
26,外科,早泄,手淫导致早泄并且手脚冰冷,"应该是肾虚的原因肾虚的症状为腰酸,四肢发冷,畏寒,,也就是说表现为“寒”的症状,肾虚可以吃狗肉,羊肉,韭菜,泥鳅来进行食补,药物则有超邦黄精胶囊肾虚的症状为“热”,主要有腰酸,燥热,盗汗,虚汗,头晕,耳鸣等.肾虚可以吃哈士膜,黑木耳,黑芝麻,小核桃等进行食补,药物建议您口服超邦黄精胶囊补肾壮阳效果很好",因手淫导致早泄，并且口干，大便,手淫过多导致早泄，并且勃而不坚，...,手淫导致早泄,手淫导致早泄,手淫导致～～～早泄,手淫导致早泄|,
27,其他,更年期综合症,更年期吃什么药,"病情分析：妇女进入更年期之前一般都有某些症状.如患者感到胸部,颈部及脸部突然有一阵热浪向上扩展的感觉,同时上述部位的皮肤发红,并往往伴有出汗.又如平时月经较准,经前也无特殊不适,而突然在某次月经前发生乳房胀痛,情绪不稳定,失眠多梦,头痛,腹胀,肢体浮肿等经前期紧张症候群;另外,出现烦躁,焦虑,多疑等情绪精神方面的改变,也是步入更年期的先兆也就是更年期的早期症状.指导意见：植物性异黄酮是女性的天然荷尔蒙平衡剂.当女性朋友步入更年期时(约45-55岁),天然荷尔蒙浓度就会逐渐降低,而有红潮, 头痛, 郁闷, 神经紧张的, 情绪不稳及夜间盗汗的症状发生.这些症状可以藉由本产品将体内荷尔蒙平衡过来,进而减少更年期的症状.",更年期吃什么中药好,更年期吃什么药,更年期吃什么中药,更年期吃什么药,更年期吃什么药,更年期吃什么药,
28,妇产科,妇科综合,吃紧急避孕药7天后阴道出血,"病情分析：这种情况考虑是避孕药引起的月经紊乱,可以不必担心,一般停药2－3个月月经可以恢复.指导意见：避孕药由于其抑制,延迟排卵的作用和抑制子宫内膜的作用,可使下次月经延 期,也可能由于临时用药造成的一次性血液中激素水平的暂时升高,下降后发生撤 退性出血,表现为月经提前.避孕药的副作用,可能导致内分泌紊乱,月经不调,闭经 ,不孕,或者肠胃不适,头痛,体重增加,神经紧张,情绪低潮,皮肤色斑和粉刺等.避 孕药在一年内不能超过三次,每个月之间只能用一次.",吃紧急避孕药七天后阴道出血七天,月经完吃了紧急避孕药，七天后在吃是否有效？阴道出血是为什么？,7月22做爱，23号做完后才吃的紧急避孕药，25号阴道出血...,1月4日来的月经，七天后结束。1月19日吃的紧急避孕药。...,吃了紧急避孕药后阴道出血，是怎么回事？7号早晨9点吃...,6月22号吃了紧急避孕药，6月29日出现阴道出血，7天后干...,
29,传染科,乙肝,乙肝化验结果分析,"病情分析：这种情况说明既往感染过乙肝,现仍有免疫力,属于不典型恢复期.也可能为急性乙肝感柒期.见于检查一下肝功能 ,如果肝功能高的话要抗病毒治疗.,指导意见：饮食要有足够的蛋白质,乙肝患者应多吃一些,豆制品,牛肉,鸡肉,鱼肉,鸡蛋等也是高蛋白食物.糖,脂肪,维生素要适量.乙肝患者消化功能相对较弱,吃得过饱常导致消化不良,乙肝患者体内往往缺乏锌,锰,硒等微量元素,部分病人还缺乏钙,磷,铁等.因此宜补充含丰富矿物质的食物.不宜多吃罐头食品,油炸及油煎食物,方便面和香肠等,禁止吸烟饮酒.",化验结果分析,乙肝患者麻烦专家给分析一下化验结果，需要...,乙肝化验结果分析,血液化验结果分析,请懂的人帮忙看下我的乙肝化验结果.分析下我的病情怎么...,分析分析化验单,
30,妇产科,宫颈糜烂,宫颈糜烂的成因,"病情分析：宫颈糜烂虽然是慢性宫颈炎的一种表现形式,大部分症状与慢性宫颈炎相似,但是也有部分特有的症状.指导意见：引起宫颈糜烂的原因有：  1,分娩,流产及其他的宫腔操作时造成宫颈细胞出现小的损伤,形成小的创面,如果没能及时愈合,受到病原菌的侵袭,造成创面扩大,这是宫颈糜烂最常见的成因,也是此病在已婚妇女中发病率高的原因.  2,宫内节育器的尾丝对于宫颈刺激是很多放置宫内节育器的妇女容易出现宫颈糜烂的一个原因.如果宫颈有小的创面,性生活时与尾丝的摩擦,增加大创面,也是糜烂的一个成因.  3,个体激素水平的差异是宫颈糜烂的根本原因.特别是对于妊娠期和服口服避孕药的妇女,容易造成宫颈糜烂的发生.    4,宫颈感染没有及时治疗,形成慢性炎症而来.",宫颈糜烂的成因是什么,宫颈糜烂成因是什么吖?宫颈糜烂都是怎么导致...,请问医生宫颈糜烂的成因是什么,宫颈糜烂成因是什么吖?宫颈糜烂都是怎么导致...,宫劲糜烂成因分析,重度宫颈糜烂 成因 我和她性生活就原...,
31,外科,前列腺,治慢性前列腺炎,"病情分析：前列腺炎是男性的多发病,目前对它的原因还不是十分清楚,再加上它比较特殊的解剖结构以及多发生于性活动频繁的人群等多方面的原因,使得对它的治疗不是很容易.指导意见：对于慢性前列腺炎主张综合治疗,包括一些抗菌素（如三甲氧苄氨嘧啶,红霉素等等）,中药治疗,物理治疗（超短波,直流电药物导入,微波等等）,以及局部治疗（前列腺内注射,介入）等等.可以在家里面坐热水浴,每天一到两次,每次半小时,只要坚持的话效果还是不错的素.有不良的生活习惯,如酗酒,手淫,长期处于座位等等要去除.",慢性前列腺炎怎么治？,慢性前列腺炎怎么治,慢性前列腺炎好治吗,治慢性前列腺炎费用,罗红酶素治慢性前列腺炎好吗,慢性前列腺炎怎么治的好?,
32,皮肤科,皮肤综合,皮癣中药疗法,"你好：对于你的皮癣是什么癣?具体的病症症状?牛皮癣吗?牛皮癣是一种常见的慢性顽固性皮肤病,其特征是在红斑上反复出现多层银白色干燥鳞屑.根据临床症状可以分为：寻常型,脓包型,红皮病型,关节病型,还有两个特殊类型是：掌跎脓疱病,连续性肢端皮炎;临床特点,其特征是出现大小不等的丘疹,红斑,表面覆盖着银白色鳞屑,有薄膜现象,和点状的出血点,边界清楚;牛皮癣的发病机制：主因活性氧,是肌体代谢的有害产物,渗杂在血液细胞间质中,导致肌体内环境污染,血液纯质的改变.出现血热,血燥,血瘀,蕴积滞阻过 多导致瘟毒发于肌肤.长年反复发作,病程迁延日久耗血伤精,肌肤失养,枯燥瘙痒,伤神失眠,摧残身体. 建议：从牛皮癣皮肤顽症的源头入手,在清除血毒的同时,对血毒的源头—内脏进行深层排毒和治疗,调节内部脏腑的功能,所谓“治血必先治脏,清血毒必先排脏毒”,杜绝血毒的持续产生,这一作用真正实现了治疗牛皮癣病不反复的目的.饮食注意：禁食辛辣刺激性的食物;腥发,易过敏的食物尽量少吃.;增强自身抵抗力预防感冒,,以免病情加重或复发;患病部位部位尽量不要用手抓挠,和用热水洗烫,减少刺激,以免加重病情.和发生同型反映.注意：牛皮癣是一个顽固性很强的皮肤慢性疾病,它虽然是顽症但不是绝症;查找出内在的发病原因针对内在的病因治疗,是可以治疗康复的;祝早日康复",牛皮癣中药有什么好的治疗法,牛皮癣用中药净肤疗法要用那些药,牛皮癣的 中药疗法,"上海怎么治牛皮癣病,中药渗透活化免疫疗法根治牛皮癣",,,
33,妇产科,人流,大学学生人流,您好！建议怀孕四五十天左右，去医院做B超检查孕囊，确定宫内孕。建议还是人流比较好。一定要去正规的医院。人流后注意休息一个月。,学生人流多少钱？大学生人流价格是多少？-？学生人流多...,女大学生做人流,大学生想做爱正常吗？,大学生早泄怎么办,大学生脚气怎么简单治疗,大学生怎样减肥呢,
34,皮肤科,白癜风,白驳风的原因,问题分析：只要找到白癜风的发病诱因，对症对因治疗，选择最佳治疗时期，坚持治疗，白癜风是能治愈的。但是一定要谨慎选择专业正规的白癜风治疗中心。意见建议：多食用一些富含铜元素或者酪氨酸的食物，日常的饮食方面要避免激发性食物，如辣椒，烟酒，生蒜等，富含维生素C的食品也不要吃，可以多吃些黑豆，黑芝麻等黑色食物，都是对病情有一定的帮助。,白驳风的原因是什么？,白驳风的原因是什么,白驳风是怎么回事,请问吃避孕药对白驳风有什么影响吗？,白驳风,,
35,妇产科,宫颈糜烂,宫颈糜烂的起因,"病情分析：不洁净性生活：男女双方一旦有了性生活,阴道相对处于一种“开放”状态.性生活时阴茎与宫颈有着直接接触,如果男性不注意性生活卫生,可以直接把病菌带入阴道,感染宫颈,引发宫颈糜烂.指导意见：多次人工流产：多次人工流产可造成不同程度的宫颈损伤,给病菌可乘之机,引发宫颈炎.由于炎症的刺激,局部分泌物增加,宫颈长期浸渍在炎性分泌物内就会引起宫颈糜烂.清洁过度：经常用较大浓度的消毒药液冲洗阴道,结果适得其反.因为这样做不仅会影响阴道正常菌群的生长,使其抑制病菌的作用下降,也可造成不同程度的宫颈上皮损伤,最终出现宫颈糜烂. 宫颈糜烂是能治愈的.除了一些传统的治疗方法,目前治疗效果比较理想的就是激光治疗.不过,在治疗过程中,你必须禁房事,禁游泳,禁盆浴,坐浴及自行进行阴道冲洗,只要记住这几点,绝大部分患者的宫颈糜烂是可以治愈的.当然,由于糜烂程度的不同,疗程可能有长有短.",,,,,,,
36,妇产科,妇科炎症,慢性宫颈炎,"病情分析：“宫颈炎是由流产,手术,生育等而发生”,它经常发生于有性生活史的患者指导意见：由于不注意卫生,或性生活比较频繁,都可能引起宫颈炎症.",慢性宫颈炎,慢性宫颈炎,慢性宫颈炎,慢性宫颈炎,慢性宫颈炎,慢性宫颈炎,
37,皮肤科,皮肤综合,患了毛囊炎能怎么治,"你好，建议可以使用碘伏消毒（外用）,或局部涂抹百多邦治疗,也可内服抗菌药物如阿莫西林或阿奇霉素等治疗的.注意个人卫生，禁食辛辣刺激食物",患了毛囊炎怎么办？？？,毛囊炎怎么治能除根,医生说我患了毛囊炎，怎模样能好起来，怎模样护理啊，多谢,医生您好，我脸部患了毛囊炎，该怎么...,头皮很痒，是不是患了毛囊炎,毛囊炎不治疗能好吗,
38,外科,男科,23前列腺痛治疗,"前列腺痛原来属于非细菌性前列腺炎的一种表现形式.主要因为其症状与慢性前列腺炎相似,如尿频,尿痛,尿急,会阴部不适及排尿困难.然而医生检查前列腺液少见白细胞,培养更无细菌生长,常被误认为神经衰弱.病人因得不到恰当的治疗而非常苦恼. 此类病症状并非前列腺的炎症所致,而是尿道和前列腺肌肉痉挛的结果.由于盆底和会阴部肌肉习惯性痉挛和收缩导致神经性肌痛.长时间坐位,骑车,骑马等使会阴部受压,引起症状明显加重并可牵扯睾丸痛.直肠指诊,前列腺并无明显压痛.而盆底肌肉的两侧肛提肌及髋外旋短肌触之有压痛.因此,治疗应以通过盆腔肌肉训练解除痉挛及止血为主.此外,热水坐浴,电温热疗法也能减轻症状.",上海前列腺痛怎么治疗？请问前列腺痛怎么治疗好的快？...,前列腺痛如何治疗?前列腺痛好治疗吗,治疗前列腺痛去哪里好？,最近总是前列腺痛怎么办？怎样治疗？,前列腺痛的治疗,男性前列腺痛是什么原因，前列腺痛的原因怎么治疗？,
39,内科,癫痫病,怎样才能确诊癫病,癫痫系一慢性疾病，控制不好，可迁延数年，甚至数十年之久，为此，不少癫痫患者对能否治好这个病持悲观态度。必须指出，大多数癫痫的愈后较好，当然也有少数癫痫难以控制，愈后不理想。癫痫患者应持乐观态度，树立战胜疾病的信心，一定要坚持长期治疗，缓解年限长些再停药(至少2年以上)，常用药物有卡马西平，丙戊酸钠和癫健安片等,白癫病不治会怎样？,怎么样才能让我的挤癫病好起来,癫病治疗最好医院,癫病有什么治疗办法,,,
40,皮肤科,白癜风,白驳风医院,问题分析：一般而言，白斑面积小、病程短者容易治疗，而对于大面积全身性白斑，病程又较长者治疗就较为困难。从目前国内外治疗本病的情况看，大部分白癜风患者经过治疗之后病情不再发展，并有不同程度的好转，基本上恢复健康的病例亦不少见。意见建议：饮食上面的话建议不要吃油腻、煎炸和辛辣刺激的食物，如炸鸡、冰激凌等等，饮食清淡,白驳风医院,哈尔滨白驳风医院去哪家治好？,,,,,
41,外科,乳腺外科,女性副乳的危害,你好，副乳形成的原有可能是因为内衣穿戴不正确，或者是肥胖等问题引起的，如果是自己平时没有感觉到什么不舒服，一般可以不用处理的，女性出现了有副乳比较常见的,副乳的危害及治疗,腋下副乳危害大吗?,长了副乳怎么办？副乳有危害吗？长了副乳怎么办？副乳...,长了副乳怎么办？副乳有危害吗？,副乳的危害,副乳对身体有危害吗？,
42,精神科,失眠抑郁,治疗失眠什么医院最好,抑郁症是一种常见疾病，引发抑郁症的原因是多种多样的，工作，家庭等等。其实有时候生活中的一点小事就有可能引起抑郁症，治疗抑郁症首先要了解原因，然后选好医院和疗法，这样才能对症治疗。。建议患者注意多的休息，多锻炼，养成好的生活习惯，可以做一些自己喜欢的事情，学会压力的疏导。可以去参加一些集体活动，如打篮球、踢足球等有团结意识的活动，可以排挤患者的孤寂感，有利于抑郁症的恢复。sd,失眠治疗哪个医院最好?,失眠最好的治疗医院？,治疗失眠的最好医院,宁波治疗失眠最好医院,浙江最好的失眠治疗医院,杭州最好的失眠治疗医院,
43,外科,骨科,腰肌劳损都怎样治,"腰肌劳损是指腰部肌肉,筋膜与韧带等软组织的慢性损伤,是腰腿痛中最常见的疾病,又称为功能性腰痛,慢性下腰劳损等.目前无特效的治疗措施,根治比较困难,且易复发.一般可考虑按摩或针灸治疗.",颈椎和腰肌劳损怎样治,腰肌劳损 怎样确定 腰肌劳损,腰肌劳损怎样治,腰肌劳损咋治,腰肌劳损咋治,腰肌劳损怎样治,
44,内科,帕金森,出现帕金森该如何治好,帕金森是一种进行性逐步加重的疾病，早中期患者如果不能有效控制治疗，很容易出现一系列并发症，如脑萎缩、智能减损、焦虑、失眠、老年痴呆等，晚期会合并吞咽困难，肢体挛缩、畸形、关节僵硬，不能下地，生活无法自理等。。老人帕金森一般建议选择中成药加中草药加物理仪器来治疗，三效合一直达病灶，通过针对性用药能短时间内修复患者受损脑细胞，疏通脑血管恢复脑部病灶供血供氧，激活受损“休眠”脑组织细胞，促进脑细胞新生，达到逐步恢复的效果。,老人出现帕金森能治好吗，北京哪家医院治疗帕金森最管...,72岁的老人出现帕金森，现在还能根治好吗？,北京帕金森可以治好吗,早期帕金森能够治好吗,帕金森哪里能治好呢？,中医能治好帕金森吗？,
45,内科,肿瘤科,乳腺癌吃什么食物有治疗作用,你好，你说的情况已经转移，有进一步发展的可能，最好采用有效的传统中药保守治疗，建议你用香菇、红豆蔻、桑白皮、杜仲、降香、茯苓、白术、八月札、知母、片姜黄、制南星、山萸肉、木瓜、仙茅、制半夏、补骨脂、独活、石菖蒲、连翘、紫草、桃仁等配合治疗，见效快，疗效确切，这些传统中药配合使用可以有效控制癌细胞转移扩散，能够增强机体免疫功能以达到抑制癌细胞生长，同时又不产生副作用，均在治癌抗癌的同时，增强机体免疫力，最终达到战胜癌症的目的，并可以防止残存癌细胞卷土重来，杜绝复发转移。。你好，希望正确治疗，早日康复！,乳腺癌忌吃什么食物。谢谢回答,乳腺癌术后不宜吃什么食物,乳腺癌肝转移  吃什么食物,乳腺癌术后多吃什么食物好？,得了乳腺癌该吃什么食物好？,吃什么食物可预防乳腺癌？,
